,Short name,Contrast,Anatomic coverage,Additional info,Full protocol?,,Review by GR?,,,,,,,,,,,,,,,,,,
,"Suffix codes: A=without, B=with, C=without+with, D=arthrogram/cystogram",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
100,Head and Neck,,,,,,,,,,,,,,,,,,,,,,,,
100A,head,without,,,,,,,,,,,,,,,,,,,,,,,
100C,head,with and without,,,yes,,,,,,,,,,,,,,,,,,,,
102A,3D head,without,,pediatric,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
110A,orbits,without,,,,,,,,,,,,,,,,,,,,,,,
110B,orbits,with,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
120A,sinus,without,,,,,,,,,,,,,,,,,,,,,,,
120B,sinus,with,,Maxillofacial with,,,,,,,,,,,,,,,,,,,,,
121A,Limited sinus,without,,,,,,,,,,,,,,,,,,,,,,,
122A,Sinus Stealth/Fusion,without,,,yes,,,,,,,,,,,,,,,,,,,,
123A,Trauma Maxillofacial,without,,(to include mandible and maxilla),,,,,,,,,,,,,,,,,,,,,
124A,Stryker sinus,without,,,,,,,,,,,,,,,,,,,,,,,
125C,Cisternogram,without and with,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
130A,temporal bones,without,1,,,,,,,,,,,,,,,,,,,,,,
130B,temporal bones,with,,,,,,,,,,,,,,,,,,,,,,,
130C,temporal bones,without and with,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
150A,neck,without,,,,,,,,,,,,,,,,,,,,,,,
150B,neck,with,,,PDF,,,,,,,,,,,,,,,,,,,,
154C,4D Parathyroid,without and with,,,PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
200,Thorax,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
200A,chest routine,without,,,yes,,,,,,,,,,,,,,,,,,,,
200B,chest routine,with,,,yes,,,,,,,,,,,,,,,,,,,,
210A,low dose CT,without,,incidental nodule follow-up,,,,,,,,,,,,,,,,,,,,,
211A,lung screen,without,,low dose initial or follow-up (screening only),,,,,,,,,,,,,,,,,,,,,
212A,Regular dose CT - f/u to lung screening,without,,use as 3-6 mo f/u for lung screen. REGULAR dose CT ordered,,,,,,,,,,,,,,,,,,,,,
213A,Low dose CT - f/u to lung screening,without,,use as 3-6 mo f/u for lung screen. LOW dose CT ordered,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
215A,HRCT,without,,(supine + expiration + prone),,,,,,,,,,,,,,,,,,,,,
221,HRCT with contiguous,without,,with contiguous scan (supine SuperD. expiration + prone skip series),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
230A,chest - aneurysm,without,,aortic aneurysm surveillance,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
300,Abdomen & Pelvis,,,,,,,,,,,,,,,,,,,,,,,,
